,roberta_neg,roberta_neu,roberta_pos
0,0.8409692,0.19243926,0.0036872402
1,0.09351789,0.6574189,0.2932901
2,0.9843988,0.047034472,0.0009234962
3,0.1629061,0.6855093,0.19942458
4,0.16744788,0.7618134,0.12328285
5,0.7702527,0.26458427,0.004622504
6,0.015660748,0.5700817,0.45108154
7,0.8466968,0.1861053,0.004072721
8,0.9689339,0.06134774,0.0025041294
9,0.04295879,0.800789,0.20767622
10,0.5837783,0.41436782,0.0451192
11,0.22282928,0.72695285,0.10220918
12,0.30753368,0.7133892,0.03260791
13,0.022011368,0.8946266,0.13983403
14,0.26956683,0.71106476,0.071704954
15,0.9614064,0.0640483,0.0072839586
16,0.9830496,0.04581614,0.0033804355
17,0.36927146,0.62958556,0.051361084
18,0.049681023,0.92576754,0.0836605
19,0.9863869,0.039197113,0.0063576885
20,0.06537679,0.9087811,0.08436808
21,0.6230818,0.4045872,0.016101347
22,0.48200572,0.5518287,0.014850603
23,0.8885236,0.13761356,0.008990315
24,0.9978296,0.032196574,0.0018135379
25,0.41994706,0.60735697,0.022988336
26,0.7026481,0.3322379,0.006754253
27,0.75840986,0.2774449,0.004047283
28,0.3372494,0.69087297,0.024883162
29,0.97495615,0.056554314,0.0011550393
30,0.10121406,0.92809594,0.031370357
31,0.10339929,0.86394817,0.089545116
32,0.07481572,0.90494156,0.07880053
33,0.06817244,0.9629709,0.03071152
34,0.047536016,0.9235037,0.08787392
35,0.36955303,0.6070451,0.072275415
36,0.72580457,0.30512348,0.009728818
37,0.7767791,0.20167065,0.057416372
38,0.2923037,0.656029,0.10133359
39,0.938638,0.09231539,0.0028487588
40,0.658236,0.28540117,0.09395912
41,0.01264074,0.7787818,0.25783882
42,0.8723432,0.15429793,0.009037824
43,0.5666391,0.43666476,0.040822875
44,0.9884307,0.042397473,0.0013622884
45,0.9318459,0.09728694,0.004778797
46,0.9492919,0.077649586,0.006276737
47,0.41803417,0.5795747,0.05096355
48,0.15447615,0.8117979,0.08890857
49,0.95597214,0.07288929,0.004256771
50,0.93135357,0.09644151,0.006052091
51,0.4018924,0.57979006,0.06645438
52,0.8613494,0.15843792,0.015834626
53,0.13430217,0.8658592,0.05770434
54,0.49577096,0.49435222,0.05549577
55,0.9196644,0.107336685,0.0071750525
56,0.8334626,0.20178173,0.0022033057
57,0.0038303616,0.31539667,0.7019879
58,0.8203665,0.20171888,0.014994718
59,0.0040272367,0.005209866,0.9933732
60,0.042452328,0.9513108,0.06667757
61,0.25904375,0.7773702,0.019608356
62,0.0024268879,0.03305404,0.9687555
63,0.88155615,0.14770368,0.006279504
64,0.9598994,0.06760787,0.005403039
65,0.931939,0.09618039,0.005728337
66,0.57747006,0.44840056,0.019261278
67,0.07135484,0.78905845,0.19109578
68,0.16864632,0.7904866,0.09516482
69,0.74238586,0.26445255,0.031838875
70,0.39515683,0.5836629,0.06936225
71,0.106470406,0.89049387,0.061606165
72,0.1385376,0.8311026,0.08625792
73,0.92861706,0.09657809,0.008584342
74,0.97227186,0.054223213,0.005956012
75,0.68612796,0.31951448,0.034775436
76,0.8752394,0.15559144,0.0050061783
77,0.53975886,0.47775117,0.028335094
78,0.37219125,0.5724946,0.10218808
79,0.030081725,0.31590632,0.6759868
80,0.0082268445,0.054662813,0.94280434
81,0.030763095,0.38587847,0.6095503
82,0.5129817,0.48990697,0.04294184
83,0.044392847,0.8930797,0.1195285
84,0.11403115,0.88804686,0.056555767
85,0.9107886,0.119153276,0.0046966122
86,0.8450049,0.18959756,0.0024348819
87,0.41723594,0.62276465,0.011140937
88,0.8111557,0.1869157,0.037864707
89,0.9241597,0.10142191,0.008364549
90,0.31769732,0.69028246,0.044447087
91,0.96977454,0.05941684,0.003501919
92,0.3543477,0.51372766,0.17477699
93,0.84650993,0.17140986,0.018068202
94,0.8999595,0.13109522,0.003999484
95,0.31214577,0.24179223,0.4714267
96,0.9686811,0.061526123,0.0025822558
97,0.9362773,0.09103168,0.006350532
98,0.56050694,0.4616788,0.023271546
99,0.9082155,0.11527617,0.010842736
100,0.9623936,0.06917164,0.0015082494
101,0.9821999,0.049279653,0.00095077977
102,0.20042227,0.7484144,0.1038198
103,0.66625494,0.35762644,0.018271089
104,0.8972764,0.12096959,0.016126093
105,0.9038923,0.12512967,0.005783558
106,0.20893326,0.7703131,0.07496029
107,0.03872954,0.8276448,0.1865434
108,0.10345206,0.9260254,0.031140957
109,0.96697766,0.063849024,0.0020548948
110,0.04957317,0.9648969,0.046983674
111,0.108103886,0.6666793,0.27040455
112,0.5908874,0.41727552,0.035474293
113,0.9187297,0.111728445,0.0039554974
114,0.8417313,0.18256333,0.0122296475
115,0.0029393714,0.0036119716,0.9959329
116,0.68047917,0.34369275,0.017539635
117,0.98910886,0.039778087,0.0031652302
118,0.8369837,0.19206595,0.007912867
119,0.9600338,0.07185404,0.0012810663
120,0.8058492,0.22783257,0.0045617446
121,0.6948699,0.30902869,0.03613311
122,0.33674577,0.67774856,0.037709698
123,0.9094439,0.12441018,0.001062559
124,0.09490957,0.858949,0.10249813
125,0.79846036,0.22700422,0.012523891
126,0.55932933,0.44549996,0.039624497
127,0.90743613,0.115807205,0.01110135
128,0.11356162,0.64980763,0.28095788
129,0.49774683,0.50518924,0.04338807
130,0.8875287,0.1452458,0.0027831597
131,0.37143978,0.5723385,0.103065476
132,0.49548414,0.380014,0.16325304
133,0.9833799,0.047230933,0.0017293692
134,0.9035263,0.12238766,0.008716804
135,0.970519,0.056686703,0.0053444216
136,0.9772699,0.05426724,0.0010554343
137,0.90139765,0.12603727,0.0073556723
138,0.48266706,0.5325702,0.032310657
139,0.055509456,0.7852097,0.2101188
140,0.96671796,0.06316442,0.0029508914
141,0.9604247,0.06968266,0.002941966
142,0.3551439,0.65915823,0.03729768
143,0.0045188153,0.11854087,0.8863638
144,0.93831134,0.09326342,0.002275047
145,0.97348255,0.052668657,0.0062402617
146,0.41643366,0.60883,0.025019502
147,0.008803406,0.2695438,0.7402549
148,0.81432456,0.20332934,0.019354938
149,0.752588,0.24617216,0.039103925
150,0.8028631,0.22971778,0.0056926897
151,0.061799087,0.5712619,0.4051156
152,0.99570125,0.035530668,0.0007486376
153,0.0077670068,0.096200675,0.9042056
154,0.48746708,0.50212765,0.05626007
155,0.9499411,0.080002315,0.003433979
156,0.09609878,0.7548157,0.19922769
157,0.79386085,0.19157131,0.050302736
158,0.16311061,0.84587127,0.048484977
159,0.9135001,0.10944885,0.011182727
160,0.76165044,0.22714353,0.04818024
161,0.7105659,0.30465326,0.024986068
162,0.8584633,0.17010303,0.0076752733
163,0.49804503,0.5386994,0.0115984455
164,0.85664195,0.16886419,0.010610617
165,0.6217944,0.40819466,0.013962047
166,0.8647501,0.16899802,0.0026018466
167,0.9578178,0.060890887,0.013740836
168,0.98732334,0.039700866,0.004973797
169,0.24647306,0.7577812,0.050243508
170,0.9300863,0.10328787,0.00084864395
171,0.00363047,0.063250035,0.93920094
172,0.97553694,0.05434711,0.002665117
173,0.5214574,0.46149653,0.061407585
174,0.5125633,0.51175904,0.02280752
175,0.24496885,0.7296232,0.07817456
176,0.9441342,0.08180483,0.007385224
177,0.5783519,0.4277157,0.037847813
178,0.8929443,0.1355222,0.006658351
179,0.1816328,0.6482778,0.21621597
180,0.07229112,0.8112695,0.16930705
181,0.64612985,0.38164192,0.015262391
182,0.6612549,0.33118582,0.04798642
183,0.885302,0.13734545,0.0123745
184,0.19484434,0.77890307,0.080583274
185,0.8663571,0.1630981,0.0065853745
186,0.934112,0.09570869,0.004059296
187,0.39223018,0.55850035,0.0958606
188,0.4423187,0.55461985,0.050811343
189,0.86573124,0.16321044,0.007088449
190,0.6533184,0.37978494,0.010019028
191,0.80634505,0.22825347,0.0036839657
192,0.7477478,0.28525895,0.0070679365
193,0.004019049,0.04601304,0.9550261
194,0.3657057,0.6023119,0.08046512
195,0.72893405,0.29738894,0.013956778
196,0.011215563,0.19772968,0.8054153
197,0.9557767,0.06353156,0.013243074
198,0.14176211,0.8626104,0.053505577
199,0.54627854,0.38077402,0.113155454
200,0.8945672,0.13353966,0.0069441944
201,0.03499665,0.33146593,0.6565824
202,0.4928887,0.47352397,0.07787655
203,0.2860927,0.6978434,0.06806639
204,0.86405885,0.16712959,0.0050302474
205,0.7263556,0.29902616,0.014924541
206,0.954819,0.07332752,0.0049658706
207,0.88059366,0.15111099,0.004012389
208,0.6018346,0.40986297,0.031799126
209,0.0074915765,0.83695304,0.2081637
210,0.7957312,0.23811084,0.004736916
211,0.78742313,0.2399317,0.011102626
212,0.80011517,0.23085251,0.0072976453
213,0.865112,0.14771311,0.022257918
214,0.95904136,0.07096204,0.003084336
215,0.9844274,0.04566222,0.0021855417
216,0.7079824,0.31977344,0.013284825
217,0.07055153,0.9338309,0.05579027
